Category,Budget,Actual,Variance
Material Cost,65.02,85.5,20.48
Contractor & Others,106.59,153.55,46.96
ROUTINE MAINT. TOTAL,171.61,239.05,67.44
Material Cost,33.06,5.72,-27.34
Material Cost- Cap OH,36.08,61.81,25.73
Contractor & Others,9.73,2.01,-7.72
Contractor & Others Cap OH,24.7,32.81,8.11
OVERHAULING TOTAL,103.57,102.34,-1.22
Material Cost,2.16,14.72,12.57
Contractor & Others,23.74,5.96,-17.78
BUILDINGS & OTHER ASSETS,25.9,20.68,-5.22
Material Cost,0.25,1.62,1.37
Contractor & Others,18.78,12.47,-6.32
TOWNSHIP ASSETS,19.03,14.08,-4.95
TOTAL R&M COST,320.11,376.16,56.05
